"","Depth","Yearmarker","YEsin","YEweight","YEcount","YE18O","YEcombined","peakID"
"sample 136",102,0,0.133339890585624,0.0701754385964912,0.363636363636364,0,0.0578851419001133,0
"sample 137",102.75,0,0.0832792121913207,0,0.363636363636364,0,0.0140866857164917,0
"sample 138",103.5,0,0.135517342080237,0,0.272727272727273,0,0,0
"sample 139",104.25,0,0.244403168619886,0.087719298245614,0.272727272727273,0,0.071617423773275,0
"sample 140",105,0,0.539275882666133,0.245614035087719,0.363636363636364,0,0.269662684963814,0
"sample 141",105.75,0,0.733372637694322,0.368421052631579,0.363636363636364,0,0.38510134303761,0
"sample 142",106.5,0,0.785668387707679,0.385964912280702,0.363636363636364,0,0.410541844279991,0
"sample 143",107.25,1,0.867264876739946,0.385964912280702,0.454545454545455,0,0.473380517663548,0
"sample 144",108,0,0.916789458691938,0.543859649122807,0.454545454545455,0,0.548937232011996,1
"sample 145",108.75,0,0.849187844073235,0.578947368421053,0.454545454545455,0,0.537093382965698,0
"sample 146",109.5,0,0.618897913614738,0.298245614035088,0.454545454545455,0,0.350954247080525,0
"sample 147",110.25,0,0.402566958631277,0.157894736842105,0.545454545454546,0,0.254141109276929,0
"sample 148",111,0,0.313246351561046,0.087719298245614,0.545454545454546,0,0.196041423904274,0
"sample 149",111.75,0,0.2230472766063,0,0.545454545454546,0.0495155660487904,0.149268084381736,0
"sample 150",112.5,0,0.223609474104604,0,0.545454545454546,0.188255099070633,0.200011578875628,0
"sample 151",113.25,0,0.186046256528941,0,0.545454545454546,0.388739533021843,0.259358952488442,0
"sample 152",114,0,0.256140846331283,0,0.454545454545455,0.611260466978157,0.332834631695486,0
"sample 153",114.75,0,0.342519126430242,0,0.181818181818182,0.811744900929367,0.337983754296181,0
"sample 154",115.5,0,0.38897274794743,0,0.181818181818182,0.950484433951209,0.405444135316348,0
"sample 155",116.25,0,0.435139769309959,0.12280701754386,0,1,0.418802448605688,0
"sample 156",117,0,0.473515846184669,0.140350877192982,0,0.95048443395121,0.42113537108069,1
"sample 157",117.75,1,0.506596868248007,0.140350877192982,0,0.95048443395121,0.433185807601868,0
"sample 158",118.5,0,0.545511588243932,0.140350877192982,0,0.811744900929367,0.396822584896593,0
"sample 159",119.25,0,0.544671776885237,0.140350877192982,0,0.611260466978157,0.323486125290353,0
"sample 160",120,0,0.544671776885237,0.140350877192982,0,0.388739533021843,0.242428339828349,0
